ablation_id,feature_set,input_dim,seed,status,best_epochs,epochs_trained,acc_mean,acc_sd,auc_mean,auc_sd,balanced_acc_mean,balanced_acc_sd,sen_mean,sen_sd,spec_mean,spec_sd,f1_mean,f1_sd,pre_mean,pre_sd
A3_freq20_k,base45_freq20_k,64,0,ok,"[11, 5, 3, 49]","[42, 36, 34, 80]",0.8,0.08660254037844388,0.9391540404040405,0.050380914362350884,0.806423611111111,0.07420251579678565,0.803125,0.18147072624385205,0.8097222222222222,0.11727136059780711,0.7900206975453472,0.11103363071545033,0.8098168498168499,0.13212559319016773
A3_freq20_k,base45_freq20_k,64,2024,ok,"[8, 9, 37, 8]","[39, 40, 68, 39]",0.825,0.08897565210026095,0.9232796717171717,0.054815417533606005,0.8168718434343434,0.09731896689379875,0.7872159090909092,0.1783653560561771,0.8465277777777778,0.0534496705691496,0.8051200154858691,0.12913450913138294,0.8310817805383022,0.06940237228010075
A3_freq20_k,base45_freq20_k,64,42,ok,"[5, 1, 8, 6]","[36, 32, 39, 37]",0.78125,0.03749999999999999,0.9060172032828284,0.07140219122713795,0.7824810606060606,0.04466145165199593,0.7357954545454545,0.1778387912546954,0.8291666666666666,0.12776771296914669,0.7610115714818962,0.07832544339434452,0.8168816137566137,0.10684863600963178
A3_freq20_k,base45_freq20_k,64,3,ok,"[35, 3, 25, 20]","[66, 34, 56, 51]",0.775,0.07359800721939874,0.9433775252525253,0.041179740153778815,0.7519728535353536,0.10024647399184168,0.7463068181818182,0.30379171623435863,0.7576388888888889,0.22158908648899842,0.7345266810666696,0.1902537298289465,0.796875,0.07546369476201982
A3_freq20_k,base45_freq20_k,64,123,ok,"[38, 5, 1, 2]","[69, 36, 32, 33]",0.7874999999999999,0.03227486121839513,0.9042155934343434,0.06030709800587128,0.7818497474747474,0.04322171830481865,0.7164772727272728,0.10733073354653067,0.8472222222222222,0.1388888888888889,0.7657640232108317,0.06660511516509961,0.8407936507936508,0.12934667314767465
A3_freq20_k,base45_freq20_k,64,13,ok,"[37, 7, 22, 1]","[68, 38, 53, 32]",0.83125,0.08260094833999589,0.9212760416666668,0.07132802789276826,0.8324652777777777,0.07860181248280201,0.796875,0.21702140712413084,0.8680555555555556,0.10485881160098262,0.8094454986295594,0.11879736617524528,0.8615942028985507,0.11838903257048884
A3_freq20_k,base45_freq20_k,64,64,ok,"[5, 25, 1, 21]","[36, 56, 32, 52]",0.7937500000000001,0.04269562819149832,0.9133333333333333,0.0408011003464032,0.7920928030303029,0.04788371379349829,0.8071022727272728,0.10958841339867853,0.7770833333333332,0.09808807560622076,0.7903568720208003,0.07374880567472597,0.7819482600732601,0.09351718397991393
A3_freq20_k,base45_freq20_k,64,2026,ok,"[3, 11, 3, 3]","[34, 42, 34, 34]",0.825,0.05400617248673217,0.9146133207070707,0.05211953526431692,0.8205650252525252,0.05754931699778938,0.7946022727272728,0.08872070094111124,0.8465277777777778,0.0534496705691496,0.8153100775193799,0.0706586064364551,0.838095238095238,0.05084322977157768
A4_freq10,base45_freq10,81,1234,ok,"[29, 6, 0, 14]","[60, 37, 31, 45]",0.7125,0.14505745987941007,0.9130855429292929,0.05815771226465325,0.7164614898989898,0.15013717680527278,0.7627840909090908,0.15816661967649753,0.6701388888888888,0.454794842500915,0.7335520616770617,0.0679125244728321,0.7674632352941176,0.2200027974748741
A4_freq10,base45_freq10,81,100,ok,"[31, 5, 15, 4]","[62, 36, 46, 35]",0.8250000000000001,0.10606601717798216,0.9100560290404042,0.09014879247581399,0.8228693181818183,0.11333220582375986,0.7644886363636364,0.19368333963900716,0.8812499999999999,0.06436517314824294,0.7981692335350872,0.15258119259893116,0.8475108225108225,0.1370138988592058
A4_freq10,base45_freq10,81,0,ok,"[3, 2, 13, 3]","[34, 33, 44, 34]",0.8500000000000001,0.07359800721939873,0.9169862689393941,0.05980213449735649,0.8467013888888889,0.08684152721162035,0.753125,0.16774455595851392,0.9402777777777778,0.043832593994609724,0.820742404792469,0.11867779204107831,0.9151109307359307,0.07574030125406622
A4_freq10,base45_freq10,81,2024,ok,"[19, 6, 41, 44]","[50, 37, 72, 75]",0.8562500000000001,0.0688446318410763,0.9189204545454546,0.059913067255083156,0.8581439393939394,0.06435790732839472,0.8767045454545455,0.10608833511977105,0.8395833333333333,0.044811849458060236,0.8550901378579003,0.07551053761924066,0.8396773182957393,0.07317711662799685
A4_freq10,base45_freq10,81,42,ok,"[11, 8, 7, 9]","[42, 39, 38, 40]",0.8187499999999999,0.10282468899377555,0.9171946022727273,0.03653445648914699,0.8126262626262626,0.11581781945217316,0.7363636363636363,0.18422647458873534,0.8888888888888888,0.1014301032416974,0.7881787802840434,0.15862901847446104,0.8575634057971014,0.14618524130989627
A4_freq10,base45_freq10,81,3,ok,"[31, 3, 4, 41]","[62, 34, 35, 72]",0.84375,0.04269562819149833,0.9202327967171717,0.03744987332173514,0.842739898989899,0.04698841766963149,0.821590909090909,0.0717140595426598,0.8638888888888889,0.07335297155680873,0.8361111111111111,0.06260793149769248,0.8551328502415458,0.08541311790040293
A4_freq10,base45_freq10,81,123,ok,"[4, 5, 18, 8]","[35, 36, 49, 39]",0.825,0.07359800721939873,0.9042479482323232,0.06121303505400887,0.8191287878787878,0.07898145277421105,0.8028409090909092,0.1530607717942744,0.8354166666666667,0.05478047285083722,0.8110929434105056,0.10335220554300997,0.8261021587108544,0.0600078065796769
A4_freq10,base45_freq10,81,13,ok,"[24, 16, 2, 37]","[55, 47, 33, 68]",0.79375,0.08260094833999584,0.9388194444444444,0.03430073458997983,0.7938289141414141,0.08218262207205486,0.8508522727272727,0.10146726171393666,0.7368055555555556,0.2589486399812676,0.8084709119496856,0.04193560726896374,0.7921401515151515,0.12912736561080604
A4_freq10,base45_freq10,81,64,ok,"[41, 3, 31, 19]","[72, 34, 62, 50]",0.825,0.0912870929175277,0.9276523042929292,0.05693371393167923,0.8237847222222223,0.10206414714630839,0.7531249999999999,0.1834335790606432,0.8944444444444446,0.09362388636862617,0.7969991526136029,0.13793841012434813,0.8629319955406911,0.13442990238225183
