id,status,started,finished,duration_s,exit
lr-s2026,completed,2026-09-23T01:58:08,2026-09-23T01:58:13,4.7,0
knn-s100,completed,2026-09-23T01:58:08,2026-09-23T01:58:13,4.6,0
knn-s42,completed,2026-09-23T01:58:13,2026-09-23T01:58:17,4.8,0
knn-s2024,completed,2026-09-23T01:58:13,2026-09-23T01:58:17,4.6,0
knn-s1234,completed,2026-09-23T01:58:08,2026-09-23T01:58:12,4.6,0
knn-s0,completed,2026-09-23T01:58:08,2026-09-23T01:58:12,4.6,0
knn-s64,completed,2026-09-23T01:58:13,2026-09-23T01:58:18,4.9,0
knn-s13,completed,2026-09-23T01:58:13,2026-09-23T01:58:17,4.7,0
knn-s2026,completed,2026-09-23T01:58:13,2026-09-23T01:58:17,4.8,0
knn-s123,completed,2026-09-23T01:58:13,2026-09-23T01:58:17,4.8,0
knn-s3,completed,2026-09-23T01:58:13,2026-09-23T01:58:17,4.5,0
fnn-s0,completed,2026-09-23T01:58:17,2026-09-23T01:58:29,11.7,0
fnn-s1234,completed,2026-09-23T01:58:13,2026-09-23T01:58:24,11.3,0
fnn-s100,completed,2026-09-23T01:58:17,2026-09-23T01:58:29,12.3,0
fnn-s2024,completed,2026-09-23T01:58:17,2026-09-23T01:58:29,11.3,0
fnn-s13,completed,2026-09-23T01:58:18,2026-09-23T01:58:29,11.1,0
fnn-s3,completed,2026-09-23T01:58:17,2026-09-23T01:58:29,11.8,0
fnn-s64,completed,2026-09-23T01:58:24,2026-09-23T01:58:34,9.6,0
fnn-s123,completed,2026-09-23T01:58:17,2026-09-23T01:58:31,13.3,0
fnn_cat-s1234,completed,2026-09-23T01:58:34,2026-09-23T01:58:44,10.6,0
fnn-s2026,completed,2026-09-23T01:58:34,2026-09-23T01:58:46,12.3,0
fnn_cat-s100,completed,2026-09-23T01:58:34,2026-09-23T01:58:45,11.3,0
fnn_cat-s123,completed,2026-09-23T01:58:34,2026-09-23T01:58:45,11.3,0
fnn_cat-s0,completed,2026-09-23T01:58:34,2026-09-23T01:58:45,11.6,0
fnn_cat-s2024,completed,2026-09-23T01:58:34,2026-09-23T01:58:45,11.8,0
fnn_cat-s13,completed,2026-09-23T01:58:44,2026-09-23T01:58:54,9.4,0
fnn_cat-s3,completed,2026-09-23T01:58:34,2026-09-23T01:58:45,11.1,0
fnn_cat-s64,completed,2026-09-23T01:58:45,2026-09-23T01:58:55,9.8,0
fnn_cat-s2026,completed,2026-09-23T01:58:45,2026-09-23T01:58:54,9.2,0
fnn_cat-s42,completed,2026-09-23T01:58:34,2026-09-23T01:58:46,12.0,0
lr_l1-s1234,completed,2026-09-23T01:58:45,2026-09-23T01:58:50,5.0,0
lr_l1-s100,completed,2026-09-23T01:58:45,2026-09-23T01:58:50,5.0,0
lr_l1-s0,completed,2026-09-23T01:58:45,2026-09-23T01:58:50,5.0,0
lr_l1-s2024,completed,2026-09-23T01:58:46,2026-09-23T01:58:51,5.0,0
lr_l1-s42,completed,2026-09-23T01:58:46,2026-09-23T01:58:51,4.8,0
lr_l1-s13,completed,2026-09-23T01:58:55,2026-09-23T01:58:58,3.8,0
lr_l1-s3,completed,2026-09-23T01:58:55,2026-09-23T01:58:59,4.4,0
lr_l1-s123,completed,2026-09-23T01:58:55,2026-09-23T01:58:58,3.5,0
lr_l1-s2026,completed,2026-09-23T01:58:55,2026-09-23T01:58:58,3.7,0
lr_l1-s64,completed,2026-09-23T01:58:55,2026-09-23T01:58:59,4.6,0
