experiment,kind,seed,fold,auc,acc,sen,spec,f1,balanced_acc,best_epoch,epochs_trained,stopping_reason,stage
EXP-PROP-003,proposal,2024,Set_0,0.9873737373737373,0.9,0.8181818181818182,1.0,0.9,0.9090909090909092,16.0,47.0,early_stopping,
EXP-PROP-003,proposal,2024,Set_1,0.8958333333333334,0.775,1.0,0.625,0.7804878048780487,0.8125,5.0,36.0,early_stopping,
EXP-PROP-003,proposal,2024,Set_2,0.98,0.75,1.0,0.5,0.8,0.75,0.0,31.0,early_stopping,
EXP-PROP-003,proposal,2024,Set_3,0.8813131313131313,0.7,0.5909090909090909,0.8333333333333334,0.6842105263157896,0.7121212121212122,11.0,42.0,early_stopping,
EXP-PROP-003,proposal,42,Set_0,0.9621212121212122,0.85,1.0,0.6666666666666666,0.88,0.8333333333333333,21.0,52.0,early_stopping,
EXP-PROP-003,proposal,42,Set_1,0.8854166666666666,0.775,0.625,0.875,0.6896551724137931,0.75,22.0,53.0,early_stopping,
EXP-PROP-003,proposal,42,Set_2,0.98,0.9,0.95,0.85,0.9047619047619048,0.8999999999999999,3.0,34.0,early_stopping,
EXP-PROP-003,proposal,42,Set_3,0.898989898989899,0.75,0.6363636363636364,0.8888888888888888,0.7368421052631579,0.7626262626262625,9.0,40.0,early_stopping,
EXP-PROP-003,proposal,3,Set_0,0.9570707070707072,0.8,0.9545454545454546,0.6111111111111112,0.84,0.7828282828282829,11.0,42.0,early_stopping,
EXP-PROP-003,proposal,3,Set_1,0.890625,0.825,0.75,0.875,0.7741935483870969,0.8125,3.0,34.0,early_stopping,
EXP-PROP-003,proposal,3,Set_2,0.9675,0.825,0.95,0.7,0.8444444444444444,0.825,3.0,34.0,early_stopping,
EXP-PROP-003,proposal,3,Set_3,0.9090909090909092,0.8,0.7272727272727273,0.8888888888888888,0.7999999999999999,0.8080808080808081,10.0,41.0,early_stopping,
EXP-PROP-003,proposal,123,Set_0,0.9848484848484849,0.95,0.9545454545454546,0.9444444444444444,0.9545454545454546,0.9494949494949495,10.0,41.0,early_stopping,
EXP-PROP-003,proposal,123,Set_1,0.8802083333333334,0.775,0.625,0.875,0.6896551724137931,0.75,7.0,38.0,early_stopping,
EXP-PROP-003,proposal,123,Set_2,0.9650000000000001,0.9,0.9,0.9,0.9,0.9,7.0,38.0,early_stopping,
EXP-PROP-003,proposal,123,Set_3,0.888888888888889,0.75,0.6818181818181818,0.8333333333333334,0.7499999999999999,0.7575757575757576,13.0,44.0,early_stopping,
EXP-PROP-003,proposal,13,Set_0,0.9570707070707071,0.9,0.8636363636363636,0.9444444444444444,0.9047619047619048,0.904040404040404,6.0,37.0,early_stopping,
EXP-PROP-003,proposal,13,Set_1,0.8541666666666666,0.775,0.75,0.7916666666666666,0.7272727272727272,0.7708333333333333,17.0,48.0,early_stopping,
EXP-PROP-003,proposal,13,Set_2,0.9775,0.9,0.95,0.85,0.9047619047619048,0.8999999999999999,3.0,34.0,early_stopping,
EXP-PROP-003,proposal,13,Set_3,0.8939393939393939,0.8,0.6363636363636364,1.0,0.7777777777777778,0.8181818181818181,32.0,63.0,early_stopping,
EXP-PROP-003,proposal,64,Set_0,0.9722222222222223,0.9,0.9545454545454546,0.8333333333333334,0.9130434782608695,0.893939393939394,7.0,38.0,early_stopping,
EXP-PROP-003,proposal,64,Set_1,0.8828125,0.725,0.5625,0.8333333333333334,0.6206896551724138,0.6979166666666667,16.0,47.0,early_stopping,
EXP-PROP-003,proposal,64,Set_2,0.97,0.85,0.95,0.75,0.8636363636363635,0.85,3.0,34.0,early_stopping,
EXP-PROP-003,proposal,64,Set_3,0.9090909090909092,0.775,0.6818181818181818,0.8888888888888888,0.7692307692307693,0.7853535353535352,42.0,73.0,early_stopping,
EXP-PROP-003,proposal,2026,Set_0,0.9621212121212122,0.825,0.9545454545454546,0.6666666666666666,0.8571428571428572,0.8106060606060606,8.0,39.0,early_stopping,
EXP-PROP-003,proposal,2026,Set_1,0.8567708333333334,0.75,0.5,0.9166666666666666,0.6153846153846154,0.7083333333333333,17.0,48.0,early_stopping,
EXP-PROP-003,proposal,2026,Set_2,0.975,0.875,0.95,0.8,0.8837209302325583,0.875,3.0,34.0,early_stopping,
EXP-PROP-003,proposal,2026,Set_3,0.9090909090909091,0.775,0.5909090909090909,1.0,0.7428571428571429,0.7954545454545454,34.0,65.0,early_stopping,
EXP-PROP-004,proposal,1234,Set_0,0.9747474747474749,0.925,0.9090909090909091,0.9444444444444444,0.9302325581395349,0.9267676767676767,96.0,127.0,early_stopping,
EXP-PROP-004,proposal,1234,Set_1,0.8567708333333334,0.75,0.625,0.8333333333333334,0.6666666666666666,0.7291666666666667,55.0,86.0,early_stopping,
EXP-PROP-004,proposal,1234,Set_2,0.9550000000000001,0.85,0.9,0.8,0.8571428571428572,0.8500000000000001,23.0,54.0,early_stopping,
EXP-PROP-004,proposal,1234,Set_3,0.845959595959596,0.75,0.7272727272727273,0.7777777777777778,0.761904761904762,0.7525252525252526,42.0,73.0,early_stopping,
EXP-PROP-004,proposal,100,Set_0,0.9696969696969697,0.95,0.9090909090909091,1.0,0.9523809523809523,0.9545454545454546,143.0,150.0,max_epochs,
EXP-PROP-004,proposal,100,Set_1,0.8515625,0.7,0.6875,0.7083333333333334,0.6470588235294118,0.6979166666666667,39.0,70.0,early_stopping,
EXP-PROP-004,proposal,100,Set_2,0.96,0.85,0.9,0.8,0.8571428571428572,0.8500000000000001,14.0,45.0,early_stopping,
EXP-PROP-004,proposal,100,Set_3,0.8434343434343433,0.75,0.7272727272727273,0.7777777777777778,0.761904761904762,0.7525252525252526,24.0,55.0,early_stopping,
EXP-PROP-004,proposal,0,Set_0,0.9621212121212122,0.9,0.8636363636363636,0.9444444444444444,0.9047619047619048,0.904040404040404,62.0,93.0,early_stopping,
EXP-PROP-004,proposal,0,Set_1,0.84375,0.75,0.75,0.75,0.7058823529411765,0.75,54.0,85.0,early_stopping,
EXP-PROP-004,proposal,0,Set_2,0.97,0.875,0.95,0.8,0.8837209302325583,0.875,22.0,53.0,early_stopping,
EXP-PROP-004,proposal,0,Set_3,0.851010101010101,0.725,0.7272727272727273,0.7222222222222222,0.7441860465116279,0.7247474747474747,36.0,67.0,early_stopping,
EXP-PROP-004,proposal,2024,Set_0,0.9747474747474747,0.9,0.9090909090909091,0.8888888888888888,0.9090909090909091,0.898989898989899,136.0,150.0,max_epochs,
EXP-PROP-004,proposal,2024,Set_1,0.8541666666666667,0.725,0.625,0.7916666666666666,0.6451612903225806,0.7083333333333333,38.0,69.0,early_stopping,
EXP-PROP-004,proposal,2024,Set_2,0.97,0.875,0.95,0.8,0.8837209302325583,0.875,32.0,63.0,early_stopping,
EXP-PROP-004,proposal,2024,Set_3,0.8484848484848486,0.75,0.7272727272727273,0.7777777777777778,0.761904761904762,0.7525252525252526,54.0,85.0,early_stopping,
EXP-PROP-004,proposal,42,Set_0,0.9595959595959597,0.925,0.9090909090909091,0.9444444444444444,0.9302325581395349,0.9267676767676767,104.0,135.0,early_stopping,
EXP-PROP-004,proposal,42,Set_1,0.8255208333333334,0.7,0.6875,0.7083333333333334,0.6470588235294118,0.6979166666666667,56.0,87.0,early_stopping,
EXP-PROP-004,proposal,42,Set_2,0.9700000000000001,0.9,0.9,0.9,0.9,0.9,33.0,64.0,early_stopping,
EXP-PROP-004,proposal,42,Set_3,0.8383838383838385,0.725,0.7272727272727273,0.7222222222222222,0.7441860465116279,0.7247474747474747,37.0,68.0,early_stopping,
EXP-PROP-004,proposal,3,Set_0,0.9494949494949496,0.875,0.9090909090909091,0.8333333333333334,0.888888888888889,0.8712121212121212,90.0,121.0,early_stopping,
