experiment,kind,seed,fold,auc,acc,sen,spec,f1,balanced_acc
EXP-PROP-002,proposal,3,Set_0,0.9267676767676768,0.825,0.7727272727272727,0.8888888888888888,0.8292682926829269,0.8308080808080808
EXP-PROP-002,proposal,3,Set_1,0.84375,0.725,0.75,0.7083333333333334,0.6857142857142857,0.7291666666666667
EXP-PROP-002,proposal,3,Set_2,0.915,0.875,0.8,0.95,0.8648648648648648,0.875
EXP-PROP-002,proposal,3,Set_3,0.8030303030303031,0.675,0.6363636363636364,0.7222222222222222,0.6829268292682926,0.6792929292929293
EXP-PROP-002,proposal,123,Set_0,0.9116161616161617,0.85,0.8636363636363636,0.8333333333333334,0.8636363636363636,0.8484848484848485
EXP-PROP-002,proposal,123,Set_1,0.7838541666666666,0.55,1.0,0.25,0.6399999999999999,0.625
EXP-PROP-002,proposal,123,Set_2,0.895,0.85,0.8,0.9,0.8421052631578948,0.8500000000000001
EXP-PROP-002,proposal,123,Set_3,0.8434343434343434,0.75,0.6818181818181818,0.8333333333333334,0.7499999999999999,0.7575757575757576
EXP-PROP-002,proposal,13,Set_0,0.9191919191919192,0.8,0.9545454545454546,0.6111111111111112,0.84,0.7828282828282829
EXP-PROP-002,proposal,13,Set_1,0.8307291666666666,0.75,0.6875,0.7916666666666666,0.6875,0.7395833333333333
EXP-PROP-002,proposal,13,Set_2,0.9275,0.875,0.8,0.95,0.8648648648648648,0.875
EXP-PROP-002,proposal,13,Set_3,0.8055555555555556,0.725,0.6818181818181818,0.7777777777777778,0.7317073170731707,0.7297979797979798
EXP-PROP-002,proposal,64,Set_0,0.946969696969697,0.8,1.0,0.5555555555555556,0.846153846153846,0.7777777777777778
EXP-PROP-002,proposal,64,Set_1,0.8828125,0.8,0.875,0.75,0.7777777777777777,0.8125
EXP-PROP-002,proposal,64,Set_2,0.875,0.825,0.9,0.75,0.8372093023255814,0.825
EXP-PROP-002,proposal,64,Set_3,0.8560606060606061,0.75,0.6363636363636364,0.8888888888888888,0.7368421052631579,0.7626262626262625
EXP-PROP-002,proposal,2026,Set_0,0.9621212121212122,0.95,0.9545454545454546,0.9444444444444444,0.9545454545454546,0.9494949494949495
EXP-PROP-002,proposal,2026,Set_1,0.8098958333333334,0.725,0.625,0.7916666666666666,0.6451612903225806,0.7083333333333333
EXP-PROP-002,proposal,2026,Set_2,0.885,0.8,0.85,0.75,0.8095238095238095,0.8
EXP-PROP-002,proposal,2026,Set_3,0.7727272727272727,0.7,0.7272727272727273,0.6666666666666666,0.7272727272727273,0.696969696969697
EXP-PROP-003,proposal,1234,Set_0,0.9191919191919192,0.825,0.9090909090909091,0.7222222222222222,0.8510638297872342,0.8156565656565656
EXP-PROP-003,proposal,1234,Set_1,0.7552083333333334,0.725,0.5625,0.8333333333333334,0.6206896551724138,0.6979166666666667
EXP-PROP-003,proposal,1234,Set_2,0.9199999999999999,0.825,0.75,0.9,0.8108108108108107,0.825
EXP-PROP-003,proposal,1234,Set_3,0.7929292929292929,0.725,0.7727272727272727,0.6666666666666666,0.7555555555555555,0.7196969696969697
EXP-PROP-003,proposal,100,Set_0,0.8207070707070707,0.675,0.4090909090909091,1.0,0.5806451612903226,0.7045454545454546
EXP-PROP-003,proposal,100,Set_1,0.7447916666666666,0.65,0.625,0.6666666666666666,0.5882352941176471,0.6458333333333333
EXP-PROP-003,proposal,100,Set_2,0.9175,0.8,0.95,0.65,0.8260869565217392,0.8
EXP-PROP-003,proposal,100,Set_3,0.8409090909090908,0.75,0.7727272727272727,0.7222222222222222,0.7727272727272727,0.7474747474747474
EXP-PROP-003,proposal,0,Set_0,0.9343434343434344,0.775,0.9090909090909091,0.6111111111111112,0.8163265306122449,0.7601010101010102
EXP-PROP-003,proposal,0,Set_1,0.796875,0.675,0.75,0.625,0.6486486486486486,0.6875
EXP-PROP-003,proposal,0,Set_2,0.9099999999999999,0.8,0.85,0.75,0.8095238095238095,0.8
EXP-PROP-003,proposal,0,Set_3,0.8409090909090909,0.75,0.6818181818181818,0.8333333333333334,0.7499999999999999,0.7575757575757576
EXP-PROP-003,proposal,2024,Set_0,0.9696969696969697,0.825,1.0,0.6111111111111112,0.8627450980392156,0.8055555555555556
